Horta Guinardó-Bon viure-Educació i coneixement,373
Gràcia-Transició ecològica-Urbanisme per als barris,7
Sarrià Sant Gervasi-Transició ecològica-Energia i canvi climàtic,70
Sant Andreu-Economia plural-Turisme sostenible,20
Sant Martí-Transició ecològica-Verd urbà i biodiversitat,202
Sant Andreu-Economia plural-Desenvolupament i economia de proximitat,3
Sarrià Sant Gervasi-Transició ecològica-Urbanisme per als barris,7
Sant Andreu-Transició ecològica-Urbanisme per als barris,22
Sant Andreu-Economia plural-Turisme sostenible,5
Ciutat Vella-Bon viure-Cultura,0
Eixample-Transició ecològica-Urbanisme per als barris,33
Horta Guinardó-Bon viure-Sanitat i salut,12
Sant Martí-Transició ecològica-Urbanisme per als barris,2
Ciutat Vella-Bon viure-Cultura,0
Horta Guinardó-Transició ecològica-Medi ambient i espai públic,150
Horta Guinardó-Transició ecològica-Medi ambient i espai públic,0
Sants Montjuïc-Bon viure-Justícia social,19
Nou Barris-Bon viure-Cicles de vida,33
Sarrià Sant Gervasi-Economia plural-Economia cooperativa, social i solidària,1
Gràcia-Economia plural-Economia cooperativa, social i solidària,6
Sants Montjuïc-Bon govern-Participació ciutadana,3
Sants Montjuïc-Bon viure-Migració, interculturalitat i discriminació zero,7
Gràcia-Economia plural-Turisme sostenible,0
Sarrià Sant Gervasi-Bon viure-Cultura,14
Nou Barris-Bon viure-Educació i coneixement,5
Ciutat Vella-Economia plural-Turisme sostenible,9
Horta Guinardó-Bon viure-Habitatge,1
Sant Andreu-Bon viure-Cicles de vida,17
Eixample-Bon viure-Sanitat i salut,2
Sant Martí-Transició ecològica-Mobilitat sostenible,108
Sant Martí-Transició ecològica-Medi ambient i espai públic,3
Sarrià Sant Gervasi-Bon govern-Acció comunitària,0
Ciutat Vella-Bon viure-Sanitat i salut,9
Sants Montjuïc-Transició ecològica-Verd urbà i biodiversitat,57
Sant Andreu-Bon govern-Acció comunitària,4
Sant Andreu-Transició ecològica-Urbanisme per als barris,20
Sarrià Sant Gervasi-Transició ecològica-Urbanisme per als barris,0
Horta Guinardó-Transició ecològica-Mobilitat sostenible,15
Nou Barris-Transició ecològica-Urbanisme per als barris,14
Nou Barris-Bon viure-Habitatge,15
Sant Martí-Transició ecològica-Urbanisme per als barris,15
Nou Barris-Bon viure-Educació i coneixement,9
Sants Montjuïc-Transició ecològica-Medi ambient i espai públic,23
Nou Barris-Economia plural-Economia cooperativa, social i solidària,0
Nou Barris-Transició ecològica-Mobilitat sostenible,36
Gràcia-Economia plural-Ocupació de qualitat,15
Nou Barris-Bon viure-Autonomia personal,5
Eixample-Economia plural-Turisme sostenible,23
Sant Andreu-Transició ecològica-Mobilitat sostenible,4
Sants Montjuïc-Bon viure-Migració, interculturalitat i discriminació zero,10
Sant Andreu-Transició ecològica-Medi ambient i espai públic,2
Eixample-Bon viure-Cultura,51
Gràcia-Transició ecològica-Urbanisme per als barris,1
Nou Barris-Bon viure-Educació i coneixement,5
Ciutat Vella-Bon viure-Cultura,8
Sant Martí-Bon viure-Educació i coneixement,25
Nou Barris-Economia plural-Desenvolupament i economia de proximitat,8
Sant Andreu-Bon govern-Acció comunitària,1
Gràcia-Economia plural-Turisme sostenible,2
Sant Martí-Economia plural-Economia cooperativa, social i solidària,31
Gràcia-Transició ecològica-Medi ambient i espai públic,15
Horta Guinardó-Bon viure-Autonomia personal,5
Sants Montjuïc-Economia plural-Desenvolupament i economia de proximitat,2
Ciutat Vella-Bon govern-Participació ciutadana,8
Sants Montjuïc-Bon viure-Cicles de vida,11
Sant Martí-Transició ecològica-Urbanisme per als barris,6
Gràcia-Bon viure-Autonomia personal,26
Sant Andreu-Bon viure-Autonomia personal,13
Sants Montjuïc-Transició ecològica-Urbanisme per als barris,33
Ciutat Vella-Economia plural-Desenvolupament i economia de proximitat,0
Gràcia-Transició ecològica-Mobilitat sostenible,6
Gràcia-Transició ecològica-Urbanisme per als barris,11
Gràcia-Bon viure-Sanitat i salut,17
Ciutat Vella-Bon govern-Acció comunitària,2
Sant Martí-Transició ecològica-Urbanisme per als barris,33
Sant Andreu-Bon viure-Esports,1
Eixample-Economia plural-Turisme sostenible,6
Nou Barris-Bon viure-Cicles de vida,3
Sant Martí-Transició ecològica-Medi ambient i espai públic,26
Sants Montjuïc-Bon viure-Cultura,1
Eixample-Bon viure-Educació i coneixement,0
Gràcia-Bon viure-Esports,15
Eixample-Bon viure-Cicles de vida,5
Sants Montjuïc-Bon viure-Cicles de vida,4
Sant Martí-Transició ecològica-Mobilitat sostenible,2
Nou Barris-Bon viure-Habitatge,5
Sant Martí-Bon viure-Educació i coneixement,23
Horta Guinardó-Transició ecològica-Urbanisme per als barris,20
Horta Guinardó-Economia plural-Economia cooperativa, social i solidària,33
Sant Andreu-Transició ecològica-Mobilitat sostenible,1
Les Corts-Bon viure-Autonomia personal,22
Ciutat Vella-Bon viure-Cultura,12
Sants Montjuïc-Transició ecològica-Verd urbà i biodiversitat,7
Les Corts-Bon viure-Educació i coneixement,2
Sants Montjuïc-Transició ecològica-Mobilitat sostenible,34
Sants Montjuïc-Bon viure-Educació i coneixement,8
Horta Guinardó-Transició ecològica-Urbanisme per als barris,0
Les Corts-Bon viure-Equitat de gènere i diversitat sexual,14
Horta Guinardó-Bon viure-Habitatge,3
Nou Barris-Transició ecològica-Verd urbà i biodiversitat,0
Gràcia-Transició ecològica-Urbanisme per als barris,2
Eixample-Bon viure-Cultura,3
Ciutat Vella-Bon viure-Justícia social,0
Les Corts-Bon govern-Acció comunitària,0
Sant Martí-Transició ecològica-Urbanisme per als barris,3
Sants Montjuïc-Transició ecològica-Mobilitat sostenible,3
Sarrià Sant Gervasi-Transició ecològica-Medi ambient i espai públic,30
Ciutat Vella-Bon viure-Cultura,4
Ciutat Vella-Bon viure-Educació i coneixement,1
Ciutat Vella-Bon viure-Educació i coneixement,0
Gràcia-Transició ecològica-Urbanisme per als barris,6
Nou Barris-Bon viure-Justícia social,34
Eixample-Transició ecològica-Verd urbà i biodiversitat,3
Sants Montjuïc-Transició ecològica-Mobilitat sostenible,10
Sant Martí-Bon govern-Participació ciutadana,0
Eixample-Bon viure-Habitatge,36
Ciutat Vella-Economia plural-Turisme sostenible,7
Eixample-Economia plural-Desenvolupament i economia de proximitat,3
Sarrià Sant Gervasi-Bon viure-Cultura,54
Nou Barris-Bon viure-Educació i coneixement,9
Nou Barris-Bon viure-Cicles de vida,0
Nou Barris-Bon viure-Educació i coneixement,13
Horta Guinardó-Transició ecològica-Medi ambient i espai públic,51
Ciutat Vella-Economia plural-Ocupació de qualitat,6
Horta Guinardó-Bon viure-Justícia social,0
Gràcia-Transició ecològica-Medi ambient i espai públic,1
Sarrià Sant Gervasi-Transició ecològica-Mobilitat sostenible,50
Ciutat Vella-Bon viure-Habitatge,0
Sant Martí-Bon viure-Migració, interculturalitat i discriminació zero,14
Sarrià Sant Gervasi-Bon viure-Habitatge,11
Gràcia-Transició ecològica-Urbanisme per als barris,4
Nou Barris-Bon viure-Educació i coneixement,8
Horta Guinardó-Transició ecològica-Verd urbà i biodiversitat,6
Gràcia-Transició ecològica-Urbanisme per als barris,45
Sant Martí-Transició ecològica-Urbanisme per als barris,3
Nou Barris-Bon viure-Educació i coneixement,3
Eixample-Transició ecològica-Urbanisme per als barris,7
Ciutat Vella-Transició ecològica-Verd urbà i biodiversitat,6
Nou Barris-Bon viure-Sanitat i salut,5
Gràcia-Bon viure-Cicles de vida,29
Sant Martí-Transició ecològica-Urbanisme per als barris,3
Les Corts-Bon govern-Acció comunitària,4
Ciutat Vella-Bon viure-Educació i coneixement,2
Eixample-Transició ecològica-Urbanisme per als barris,3
Sarrià Sant Gervasi-Bon viure-Migració, interculturalitat i discriminació zero,9
Horta Guinardó-Bon viure-Cultura,3
Sant Martí-Economia plural-Turisme sostenible,29
Sarrià Sant Gervasi-Transició ecològica-Urbanisme per als barris,29
Eixample-Bon viure-Cicles de vida,1
Ciutat Vella-Bon viure-Cicles de vida,0
Sant Andreu-Economia plural-Desenvolupament i economia de proximitat,1
Eixample-Transició ecològica-Urbanisme per als barris,30
Sant Andreu-Transició ecològica-Urbanisme per als barris,8
Horta Guinardó-Transició ecològica-Mobilitat sostenible,11
Les Corts-Bon viure-Cicles de vida,9
Sant Martí-Bon govern-Participació ciutadana,0
Gràcia-Bon viure-Educació i coneixement,23
Nou Barris-Bon viure-Migració, interculturalitat i discriminació zero,12
Nou Barris-Transició ecològica-Mobilitat sostenible,6
Sant Andreu-Transició ecològica-Mobilitat sostenible,3
Sant Martí-Economia plural-Desenvolupament i economia de proximitat,7
Sants Montjuïc-Transició ecològica-Verd urbà i biodiversitat,8
Gràcia-Bon viure-Cultura,2
Sant Martí-Bon govern-Acció comunitària,11
Horta Guinardó-Bon viure-Sanitat i salut,15
Nou Barris-Economia plural-Economia cooperativa, social i solidària,1
Nou Barris-Bon viure-Educació i coneixement,5
Sant Martí-Transició ecològica-Mobilitat sostenible,57
Eixample-Transició ecològica-Mobilitat sostenible,6
Horta Guinardó-Transició ecològica-Urbanisme per als barris,18
Eixample-Economia plural-Turisme sostenible,21
Ciutat Vella-Bon viure-Equitat de gènere i diversitat sexual,1
Sants Montjuïc-Bon viure-Cicles de vida,5
Les Corts-Transició ecològica-Urbanisme per als barris,17
Sant Andreu-Economia plural-Ocupació de qualitat,12
Sant Martí-Bon viure-Convivència i seguretat,26
Sant Martí-Economia plural-Economia cooperativa, social i solidària,31
Gràcia-Transició ecològica-Urbanisme per als barris,0
Horta Guinardó-Bon viure-Autonomia personal,6
Sants Montjuïc-Bon viure-Justícia social,0
Nou Barris-Transició ecològica-Urbanisme per als barris,6
Eixample-Bon govern-Acció comunitària,15
Sant Martí-Transició ecològica-Urbanisme per als barris,4
Ciutat Vella-Bon viure-Cultura,1
Gràcia-Transició ecològica-Mobilitat sostenible,38
Eixample-Transició ecològica-Mobilitat sostenible,16
Ciutat Vella-Bon viure-Equitat de gènere i diversitat sexual,6
Sarrià Sant Gervasi-Transició ecològica-Urbanisme per als barris,3
Sants Montjuïc-Bon viure-Educació i coneixement,53
Horta Guinardó-Bon viure-Convivència i seguretat,40
Les Corts-Transició ecològica-Urbanisme per als barris,0
Sant Martí-Transició ecològica-Urbanisme per als barris,30
Eixample-Bon viure-Educació i coneixement,51
Sant Andreu-Transició ecològica-Medi ambient i espai públic,11
Gràcia-Bon viure-Autonomia personal,22
Eixample-Transició ecològica-Medi ambient i espai públic,26
Sant Martí-Bon viure-Convivència i seguretat,1
Sants Montjuïc-Economia plural-Economia cooperativa, social i solidària,1
Gràcia-Transició ecològica-Urbanisme per als barris,3
Horta Guinardó-Bon viure-Cultura,1
Sants Montjuïc-Bon viure-Convivència i seguretat,1
Sant Martí-Transició ecològica-Mobilitat sostenible,14
Sant Andreu-Bon viure-Cultura,18
Ciutat Vella-Bon viure-Justícia social,22
Sant Martí-Bon viure-Autonomia personal,41
Nou Barris-Bon viure-Esports,11
Eixample-Bon viure-Cultura,4
